;MES;ANO;1;2;3;4;5;6
467;12;1969;2121;2758;511;954;1195;970
468;1;1970;2731;5090;1243;890;765;1399
469;2;1970;2982;4968;1718;766;1338;1531
470;3;1970;3632;4583;1822;651;3168;1359
471;4;1970;1890;2729;756;591;1712;834
472;5;1970;1330;1828;580;918;1538;994
473;6;1970;1099;1366;448;1958;1062;1220
474;7;1970;1061;1129;401;2791;1095;1335
475;8;1970;861;899;313;729;827;725
476;9;1970;1303;918;539;966;796;1259
477;10;1970;1173;1179;460;1929;1153;1348
478;11;1970;1592;1449;390;765;905;734
479;12;1970;1354;1292;473;1561;1093;1655
480;1;1971;1259;1172;674;4007;1286;3450
481;2;1971;853;1224;314;1509;1146;1452
482;3;1971;1191;1626;576;1398;1448;1200
483;4;1971;1048;1324;489;1575;1254;936
484;5;1971;851;912;397;2693;1128;1207
485;6;1971;915;759;546;3371;905;1807
486;7;1971;816;576;475;2490;1101;1860
487;8;1971;659;512;355;1180;799;1053
488;9;1971;652;506;326;976;678;912
489;10;1971;1037;845;514;1288;911;910
490;11;1971;1070;1664;343;578;729;574
491;12;1971;2675;3769;527;491;1090;1049
492;1;1972;2879;2660;1038;820;2052;1805
493;2;1972;4091;3209;1987;1668;3206;3898
494;3;1972;3958;3125;1232;1594;3272;2376
495;4;1972;2345;2413;788;1188;2169;1712
496;5;1972;1537;1459;562;443;1511;1078
497;6;1972;1292;1107;468;1241;1559;849
498;7;1972;1497;1007;616;1458;1280;1500
499;8;1972;1179;813;522;2669;1145;1507
500;9;1972;1005;698;505;4529;1046;1694
501;10;1972;2736;1655;1357;3596;1218;5198
502;11;1972;2722;3262;935;1453;1435;2313
503;12;1972;2691;3707;750;1406;1708;1784
504;1;1973;3434;4227;885;2010;2901;2296
505;2;1973;3175;4113;981;1949;2996;2587
506;3;1973;2281;4217;752;1225;2063;1847
507;4;1973;2727;4603;813;968;2620;1273
508;5;1973;1617;2425;582;2002;1946;1446
509;6;1973;1287;1780;473;2293;1774;1386
510;7;1973;1191;1431;464;2381;1482;1736
511;8;1973;1005;1090;395;2408;1137;1364
512;9;1973;866;945;443;3562;1124;1856
513;10;1973;1040;1532;519;3048;1411;1954
514;11;1973;1708;2860;616;1784;1667;1476
515;12;1973;2912;3158;900;884;1792;1575
516;1;1974;4471;3700;1592;1474;3757;3230
517;2;1974;2889;2445;1141;1497;3475;2145
518;3;1974;3433;4821;1783;1350;2453;2902
519;4;1974;3065;4485;1200;780;4123;1738
520;5;1974;1829;2707;609;578;2626;1262
521;6;1974;1536;1945;630;1194;2331;1785
522;7;1974;1346;1510;554;1270;1992;1429
523;8;1974;977;1273;397;946;1937;876
524;9;1974;769;948;359;1511;1522;1141
525;10;1974;878;1335;425;687;1524;1246
526;11;1974;935;1186;465;994;1732;1367
527;12;1974;2183;2291;951;932;1773;1746
528;1;1975;3331;3382;1196;1205;3507;2073
529;2;1975;3239;2824;1338;1101;2255;1789
530;3;1975;2397;1936;1090;977;2731;1599
531;4;1975;1802;2434;697;628;2849;1067
532;5;1975;1255;1533;503;475;1929;894
533;6;1975;1125;1089;425;719;1389;875
534;7;1975;1105;1001;449;752;1428;999
535;8;1975;829;729;358;1352;1396;912
536;9;1975;693;548;305;1897;1234;672
537;10;1975;1096;814;521;3767;1720;2009
538;11;1975;1684;1764;558;1811;1791;1693
539;12;1975;3091;2084;1169;3172;2418;3285
540;1;1976;2553;2118;1144;1924;3490;2241
541;2;1976;3277;2396;1944;1434;3455;2569
542;3;1976;4014;2747;1620;1137;3047;1927
543;4;1976;3262;1993;1060;1206;2825;1343
544;5;1976;2085;1461;867;908;2362;1255
545;6;1976;2125;1116;1440;2833;2160;2711
546;7;1976;1998;910;1204;1191;1662;1734
547;8;1976;1815;709;1058;2228;1761;2533
548;9;1976;2286;894;1175;1758;1799;2282
549;10;1976;2124;1193;1354;1265;2081;2172
550;11;1976;2804;2237;1065;1917;1990;2262
551;12;1976;4229;4814;1195;1373;2029;2116
552;1;1977;5234;4967;1961;1481;3445;2964
553;2;1977;4886;4430;1508;1541;5165;2570
554;3;1977;2908;2574;879;1209;2600;1456
555;4;1977;3279;2829;1261;1115;2516;2148
556;5;1977;1969;1915;743;476;2216;1271
557;6;1977;1649;1569;737;798;2123;1436
558;7;1977;1255;1171;552;709;1912;990
559;8;1977;961;866;471;915;1486;859
560;9;1977;1320;1000;602;854;1810;865
561;10;1977;1178;1057;559;1691;1777;869
562;11;1977;1826;1831;675;1415;2326;1018
563;12;1977;3307;3239;1738;1287;3422;1831
564;1;1978;4465;5096;1137;503;4800;1186
565;2;1978;2715;3152;715;361;3019;800
566;3;1978;2801;4101;984;506;3604;1163
567;4;1978;1788;3052;492;285;2412;759
568;5;1978;1642;2131;578;211;2189;861
569;6;1978;1674;1905;613;316;2476;822
570;7;1978;1270;1566;614;1416;1952;1432
571;8;1978;925;1148;446;1193;1879;995
572;9;1978;913;1049;479;1249;2012;1584
573;10;1978;1118;1182;385;634;1589;863
574;11;1978;2088;2202;808;1035;1779;1166
575;12;1978;2783;4081;950;864;2556;1170
576;1;1979;3373;5972;1126;533;2771;883
577;2;1979;4602;7731;844;353;3125;870
578;3;1979;3276;4874;666;471;3149;683
579;4;1979;2215;3479;534;597;2388;596
580;5;1979;2025;2442;646;3649;2145;1067
581;6;1979;1611;2038;479;974;1813;753
582;7;1979;1347;1675;452;812;1879;664
583;8;1979;1326;1417;521;1323;1475;820
584;9;1979;1650;1526;691;1735;1981;1493
585;10;1979;1324;1426;622;3950;2340;1431
586;11;1979;1877;2056;644;3764;1942;1448
587;12;1979;2927;2629;1044;2081;2526;1492
588;1;1980;5248;5665;1022;1508;2986;1564
589;2;1980;4493;7713;1352;1173;3915;2158
590;3;1980;3113;4279;1071;1659;4957;2657
591;4;1980;3390;3821;937;779;2866;1714
592;5;1980;2098;2534;595;1048;2640;1268
593;6;1980;1726;1956;555;758;2180;984
594;7;1980;1670;1669;549;1769;2071;1336
595;8;1980;1213;1283;453;1870;1771;1112
596;9;1980;1203;1244;445;2947;1955;1545
597;10;1980;1183;1228;429;1795;1978;1246
598;11;1980;1696;1882;474;1495;1770;904
599;12;1980;3552;3909;963;2139;2464;1829
600;1;1981;5025;4927;1583;2511;2538;2556
601;2;1981;3541;2948;841;1681;3809;1370
602;3;1981;2646;3086;622;766;2636;971
603;4;1981;2029;3203;542;872;2618;802
604;5;1981;1552;1959;485;860;2127;848
605;6;1981;1565;1637;539;714;2220;787
606;7;1981;1175;1323;399;470;1613;631
607;8;1981;1094;1079;394;378;1661;580
608;9;1981;853;898;333;437;1441;455
609;10;1981;1718;1717;554;1131;1702;1096
610;11;1981;2715;3961;986;1553;2085;1242
611;12;1981;4428;5117;1008;2841;2553;1955
